0,1,2,3,4,5,6
,한국아동·청소년패널조사 2018 성인용 코드북,,,,,
,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,
,문항,,,변수명,값,값설명
,,,,,,
,-,,,ID,-,종단자료 연계를 위한 고유 ID
,,,,HID,-,가구 ID
,,,,PID,-,개인 ID
,,,,SCLID,-,학교코드
,,,,YONLINE,0,TAPI 조사
,,,,,1,온라인 조사
,,,,WEIGHTA1,-,횡단면_원 가중치
,,,,WEIGHTA2,-,횡단면_표준화 가중치
,,,,WEIGHTB1,-,종단면_원 가중치
,,,,WEIGHTB2,-,종단면_표준화 가중치
,[형제자매] 원패널과의 관계,,,SIBLING,1,형/오빠
,,,,,2,누나/언니
,,,,,3,남동생
,,,,,4,여동생
,,,,,5,기타
,,,,SIBLING_T,-,기타 (구체적으로)
,[형제자매] 형제자매 학년,,,SGRADE,1,초1
,,,,,2,초2
,,,,,3,초3
,,,,,4,초4
,,,,,5,초5
,,,,,6,초6
,,,,,7,중1
,,,,,8,중2
,,,,,9,중3
,,,,,10,고1
,,,,,11,고2
,,,,,12,고3
,조사참여 여부(청소년),,,SURVEY1,1,조사성공
,,,,,2,조사실패
,조사참여 여부(보호자),,,SURVEY2,1,조사성공
,,,,,2,조사실패
,코호트 구분,,,COHORT,1,초4 코호트 원패널
,,,,,2,중1 코호트 원패널
,,,,,3,초4 코호트 형제자매
,,,,,4,중1 코호트 형제자매
,시/도(학교 기준),,,ARA1A,1,서울
,,,,,2,부산
,,,,,3,대구
,,,,,4,인천
,,,,,5,광주
,,,,,6,대전
,,,,,7,울산
,,,,,8,세종
,,,,,9,경기
,,,,,10,강원
,,,,,11,충북
,,,,,12,충남
,,,,,13,전북
,,,,,14,전남
,,,,,15,경북
,,,,,16,경남
,,,,,17,제주
,도시규모(학교기준),,,ARA2A,1,대도시
,,,,,2,중소도시
,,,,,3,읍면지역
,시/도(거주지 기준),,,ARA1B,1,서울
,,,,,2,부산
,,,,,3,대구
,,,,,4,인천
,,,,,5,광주
,,,,,6,대전
,,,,,7,울산
,,,,,8,세종
,,,,,9,경기
,,,,,10,강원
,,,,,11,충북
,,,,,12,충남
,,,,,13,전북
,,,,,14,전남
,,,,,15,경북
,,,,,16,경남
,,,,,17,제주
,"고등학교 유형
(※ 학교정보 보호를 위해 응답결과를 리코드하여 공개)",,,SCLTYP,1,일반 고등학교
,,,,,2,자율형 고등학교
,,,,,3,특수목적 고등학교: 예술ㆍ체육계열
,,,,,4,특수목적 고등학교: 과학ㆍ외국어계열
,,,,,5,특수목적 고등학교: 마이스터고
,,,,,6,특성화 고등학교
,,,,,7,기타 학교
,쌍둥이 여부,,,YTWIN,0,패널 내 쌍둥이 없음
,,,,,1,원패널 간 쌍둥이
,,,,,2,원패널-형제자매 간 쌍둥이
,,,,,3,형제자매 간 쌍둥이
